,date,price
602,2016-03-24,795.7252087
603,2016-03-25,793.3168164
604,2016-03-26,797.961601
605,2016-03-27,805.6528138
606,2016-03-28,810.3998546
607,2016-03-29,799.9762679
608,2016-03-30,794.9156684
609,2016-03-31,795.3527411
610,2016-04-01,799.6877949
611,2016-04-02,804.4167204
612,2016-04-03,802.4726557
613,2016-04-04,802.7771255
614,2016-04-05,800.3127371
615,2016-04-06,799.5702942
616,2016-04-07,791.7305844
617,2016-04-08,784.9800257
618,2016-04-09,780.9417119
619,2016-04-10,776.8571591
620,2016-04-11,778.2017608
621,2016-04-12,774.5715028
622,2016-04-13,775.335152
623,2016-04-14,781.966053
624,2016-04-15,787.9214435
625,2016-04-16,793.7535333
626,2016-04-17,795.9913841
627,2016-04-18,795.9060581
628,2016-04-19,806.6784569
629,2016-04-20,814.3271706
630,2016-04-21,826.1569544
631,2016-04-22,817.8766459
632,2016-04-23,829.8671963
633,2016-04-24,839.0804878
634,2016-04-25,838.4134426
635,2016-04-26,844.072327
636,2016-04-27,809.5110845
637,2016-04-28,813.1216328
638,2016-04-29,827.1609162
639,2016-04-30,825.2462048
640,2016-05-01,832.6903395
641,2016-05-02,830.2607378
642,2016-05-03,832.3392956
643,2016-05-04,827.8229153
644,2016-05-05,833.460641
645,2016-05-06,850.0404871
646,2016-05-07,848.03245
647,2016-05-08,849.0739955
648,2016-05-09,851.7893358
649,2016-05-10,832.3675308
650,2016-05-11,840.7767616
651,2016-05-12,845.8216486
652,2016-05-13,852.3605501
653,2016-05-14,848.6353046
654,2016-05-15,850.9476333
655,2016-05-16,855.9624093
656,2016-05-17,859.9882109
657,2016-05-18,871.550434
658,2016-05-19,862.2698638
659,2016-05-20,857.2533685
660,2016-05-21,862.1553945
661,2016-05-22,857.4700209
662,2016-05-23,856.5260357
663,2016-05-24,855.8614183
664,2016-05-25,858.780831
665,2016-05-26,865.5795641
666,2016-05-27,888.6159885
667,2016-05-28,978.1436883
668,2016-05-29,977.6138348
669,2016-05-30,996.8473052
670,2016-05-31,1003.406596
671,2016-06-01,1015.833418
672,2016-06-02,1014.386464
673,2016-06-03,1065.334233
674,2016-06-04,1069.106984
675,2016-06-05,1072.651079
676,2016-06-06,1090.48994
677,2016-06-07,1083.245493
678,2016-06-08,1091.160507
679,2016-06-09,1083.281218
680,2016-06-10,1082.281252
681,2016-06-11,1112.068572
682,2016-06-12,1243.383927
683,2016-06-13,1310.072692
684,2016-06-14,1296.677201
685,2016-06-15,1306.199762
686,2016-06-16,1439.113876
687,2016-06-17,1371.910381
688,2016-06-18,1350.866288
689,2016-06-19,1373.788192
690,2016-06-20,1322.653255
691,2016-06-21,1218.243126
692,2016-06-22,1096.956951
693,2016-06-23,1155.34145
694,2016-06-24,1221.102678
695,2016-06-25,1231.776653
696,2016-06-26,1170.375668
697,2016-06-27,1206.820676
698,2016-06-28,1193.747514
699,2016-06-29,1180.85834
700,2016-06-30,1239.826555
701,2016-07-01,1242.235657
702,2016-07-02,1262.380801
703,2016-07-03,1217.462635
704,2016-07-04,1239.370821
705,2016-07-05,1211.112716
706,2016-07-06,1224.397687
707,2016-07-07,1159.06773
708,2016-07-08,1216.654059
709,2016-07-09,1195.783608
710,2016-07-10,1190.892686
711,2016-07-11,1188.852051
712,2016-07-12,1239.586917
713,2016-07-13,1229.735417
714,2016-07-14,1235.705821
715,2016-07-15,1247.61395
716,2016-07-16,1246.378147
717,2016-07-17,1265.114372
718,2016-07-18,1250.042974
719,2016-07-19,1269.526398
720,2016-07-20,1270.336452
721,2016-07-21,1260.791779
722,2016-07-22,1253.866396
723,2016-07-23,1245.837312
724,2016-07-24,1243.112401
725,2016-07-25,1239.271069
726,2016-07-26,1210.316574
727,2016-07-27,1227.020803
728,2016-07-28,1226.432481
729,2016-07-29,1225.324032
730,2016-07-30,1221.685342
731,2016-07-31,1165.465845
732,2016-08-01,1127.186082
733,2016-08-02,960.6878815
734,2016-08-03,1057.894105
735,2016-08-04,1081.29724
